,Date,Prev Close,Open,High,Low,Last,Close,VWAP,feature_close,feature_last,feature_open,feature_high,feature_low,feature_prevclose,feature_vwap
0,2000-01-03,24.7,26.7,26.7,26.7,26.7,26.7,26.7,0.002273635819,0.002274545091,0.002831032085,0.001485626563,0.002876463464,0.001274235459,0.002267108411
1,2000-01-04,26.7,27,28.7,26.5,27,26.85,27.24,0.002348590845,0.002424515097,0.002980033774,0.002476044272,0.002775534921,0.002273635819,0.002537359745
2,2000-01-05,26.85,26,27.75,25.5,26.4,26.3,26.24,0.002073755747,0.002124575085,0.002483361478,0.00200559586,0.002270892208,0.002348590845,0.002036894312
3,2000-01-06,26.3,25.8,27,25.8,25.9,25.95,26.27,0.001898860684,0.001874625075,0.002384027019,0.001634189219,0.002422285022,0.002073755747,0.002051908275
4,2000-01-07,25.95,25,26,24.25,25,24.8,25.04,0.001324205477,0.001424715057,0.001986689182,0.001138980365,0.001640088817,0.001898860684,0.001436335792
5,2000-01-10,24.8,25.05,26.5,25,25,25,25.29,0.001424145513,0.001424715057,0.002011522797,0.001386584792,0.002018570852,0.001324205477,0.00156145215
6,2000-01-11,25,24.25,24.8,23,23,23.2,23.9,0.0005246851889,0.000424915017,0.001614184961,0.0005447297398,0.001009285426,0.001424145513,0.0008658051988
7,2000-01-12,23.2,22.6,24.5,22.6,24,24,23.97,0.0009244453328,0.000924815037,0.000794675673,0.0003961670835,0.0008074283407,0.0005246851889,0.0009008377791
8,2000-01-13,24,24.5,24.5,23.1,23.8,23.6,23.77,0.0007245652608,0.000824835033,0.001738353035,0.0003961670835,0.001059749697,0.0009244453328,0.0008007446926
9,2000-01-14,23.6,24,24.2,22.5,23.5,23.25,23.17,0.0005496701979,0.000674865027,0.001490016887,0.0002476044272,0.0007569640694,0.0007245652608,0.0005004654329
10,2000-01-17,23.25,24.5,25.15,24.25,25.15,25.15,25.09,0.00149910054,0.00149970006,0.001738353035,0.0007180528388,0.001640088817,0.0005496701979,0.001461359064
11,2000-01-18,25.15,26.5,26.5,24.3,25.15,24.9,24.94,0.001374175495,0.00149970006,0.002731697626,0.001386584792,0.001665320953,0.00149910054,0.001386289249
12,2000-01-19,24.9,24.75,26,24.75,25.4,25.6,25.56,0.001723965621,0.001624675065,0.001862521109,0.001138980365,0.001892410174,0.001374175495,0.001696577817
13,2000-01-20,25.6,26.1,26.25,24.3,24.4,24.45,25.05,0.001149310414,0.001124775045,0.002533028708,0.001262782579,0.001665320953,0.001723965621,0.001441340447
14,2000-01-21,24.45,25,25.3,24.3,25.3,25.1,24.79,0.001474115531,0.001574685063,0.001986689182,0.0007923341669,0.001665320953,0.001149310414,0.001311219434
15,2000-01-24,25.1,25.6,25.75,24.6,24.6,24.8,25.03,0.001324205477,0.001224755049,0.00228469256,0.001015178151,0.001816713767,0.001474115531,0.001431331138
16,2000-01-25,24.8,25,25.4,24.05,24.9,25.05,24.9,0.001449130522,0.001374725055,0.001986689182,0.0008418550524,0.001539160275,0.001324205477,0.001366270632
17,2000-01-27,25.05,25.85,27.05,25.25,27.05,27.05,26.8,0.002448530881,0.002449510098,0.002408860634,0.001658949662,0.00214473153,0.001449130522,0.002317154954
18,2000-01-28,27.05,28,29.25,27.1,29.25,29.25,29.04,0.003547871277,0.003549290142,0.003476706069,0.002748409142,0.003078320549,0.002448530881,0.003438197524
19,2000-01-31,29.25,31,31.6,30.1,31.6,31.6,31.45,0.0047221667,0.004724055189,0.004966722956,0.003912149949,0.004592248688,0.003547871277,0.004644319217
20,2000-02-01,31.6,32.95,34.15,32.95,34.15,34.15,34.11,0.005996402159,0.00599880024,0.005935233933,0.005174932528,0.00603048042,0.0047221667,0.005975557268
21,2000-02-02,34.15,36.9,36.9,36.9,36.9,36.9,36.9,0.007370577653,0.007373525295,0.0078970895,0.006536756877,0.008023819136,0.005996402159,0.007371855826
22,2000-02-03,36.9,39.85,39.85,39.85,39.85,39.85,39.85,0.008844693184,0.008848230354,0.009362272772,0.007997622997,0.009512515139,0.007370577653,0.008848228853
23,2000-02-04,39.85,43.05,43.05,43.05,43.05,43.05,43.05,0.01044373376,0.01044791042,0.01095162412,0.009582291331,0.01112737182,0.008844693184,0.01044971824
24,2000-02-07,43.05,46.5,46.5,39.65,39.65,39.65,40.95,0.008744753148,0.00874825035,0.01266514354,0.01129076188,0.009411586597,0.01044373376,0.009398740829
25,2000-02-08,39.65,38,40.75,37,38,37.95,37.91,0.007895262842,0.007923415317,0.008443429026,0.008443310966,0.008074283407,0.008744753148,0.007877325913
26,2000-02-09,37.95,39.5,40,35.05,36.6,36.05,36.78,0.0069458325,0.007223555289,0.009188437469,0.008071904326,0.007090230117,0.007895262842,0.007311799974
27,2000-02-10,36.05,37.5,38.95,36.5,38.95,38.95,38.34,0.008394963022,0.008398320336,0.008195092878,0.007551935029,0.007821962051,0.0069458325,0.008092526049
28,2000-02-11,38.95,42.1,42.1,42.1,42.1,42.1,42.1,0.009969018589,0.009973005399,0.01047978544,0.00911184292,0.01064796124,0.008394963022,0.009974276077
29,2000-02-14,42.1,44.95,45.25,38.75,38.75,38.75,40.38,0.008295022986,0.008298340332,0.01189530148,0.01067175081,0.008957408155,0.009969018589,0.009113475532
30,2000-02-15,38.75,37.25,37.25,35.65,35.65,35.65,36.16,0.006745952429,0.00674865027,0.008070924804,0.006710079976,0.007393015745,0.008295022986,0.007001511406
31,2000-02-16,35.65,37,38.5,36,38.5,38.1,38.1,0.007970217869,0.008173365327,0.00794675673,0.007329091044,0.007569640694,0.006745952429,0.007972414345
32,2000-02-17,38.1,39.5,40,37.3,38.25,38.5,38.27,0.008170097941,0.008048390322,0.009188437469,0.008071904326,0.008225676221,0.007970217869,0.008057493469
33,2000-02-18,38.5,37.55,37.75,35.5,36.7,36.6,36.39,0.007220667599,0.007273545291,0.008219926493,0.006957684403,0.007317319338,0.008170097941,0.007116618455
34,2000-02-21,36.6,38.25,38.25,34.7,35.3,35.4,35.62,0.006621027384,0.006573685263,0.008567597099,0.007205288831,0.006913605168,0.007220667599,0.006731260072
35,2000-02-22,35.4,37.2,38,33.3,33.55,33.75,34.78,0.005796522087,0.005698860228,0.008046091189,0.007081486617,0.006207105369,0.006621027384,0.006310869108
36,2000-02-23,33.75,35,36.4,34,34.25,34.55,35.03,0.006196282231,0.006048790242,0.006953412139,0.00628915245,0.006560355268,0.005796522087,0.006435985466
37,2000-02-24,34.55,37.35,37.35,33,37.35,37.35,36.13,0.007595442734,0.007598480304,0.008120592033,0.006759600862,0.006055712556,0.006196282231,0.006986497443
38,2000-02-25,37.35,39.75,40.1,35.8,40,39.45,38.11,0.008644813112,0.008923215357,0.009312605543,0.008121425211,0.007468712152,0.007595442734,0.007977419
39,2000-02-28,39.45,42.5,42.65,37,39,38.85,38.77,0.008344993004,0.008423315337,0.01067845436,0.00938420779,0.008074283407,0.008644813112,0.008307726185
40,2000-02-29,38.85,41,41,35.75,35.8,36.25,39.24,0.007045772536,0.006823635273,0.009933445912,0.00856711318,0.007443480016,0.008344993004,0.008542944939
41,2000-03-01,36.25,37,39.15,36.9,39.15,39.15,38.49,0.008494903058,0.00849830034,0.00794675673,0.007650976799,0.008023819136,0.007045772536,0.008167595864
42,2000-03-02,39.15,42.2,42.2,38,38.7,38.2,39.45,0.008020187887,0.008273345331,0.01052945267,0.009161363805,0.00857892612,0.008494903058,0.00864804268
43,2000-03-03,38.2,38,38,35.15,35.7,35.55,35.71,0.006695982411,0.006773645271,0.008443429026,0.007081486617,0.007140694388,0.008020187887,0.006776301961
44,2000-03-06,35.55,37.7,37.8,35,35.4,35.2,35.96,0.006521087348,0.006623675265,0.008294427337,0.006982444846,0.007064997981,0.006695982411,0.006901418319
